Datetime,女八九舍(含女九餐廳),女五舍,女一舍,女三舍,女二舍,鹿鳴雅舍
2026-01-14 23:00:00,69.19,16.02,33.68,23.9,133.38,
2026-01-15 00:00:00,49.29,15.93,31.52,30.6,68.22,
2026-01-15 01:00:00,53.39,8.25,26.29,22.0,29.63,
2026-01-15 02:00:00,37.98,10.5,21.34,20.35,23.54,
2026-01-15 03:00:00,29.24,7.83,17.69,19.08,121.91,
2026-01-15 04:00:00,27.94,5.64,15.77,15.02,66.06,
2026-01-15 05:00:00,27.02,6.29,14.85,13.42,18.05,
2026-01-15 06:00:00,29.51,5.54,13.33,12.4,18.36,
2026-01-15 07:00:00,40.82,4.82,15.25,12.54,19.79,
2026-01-15 08:00:00,42.12,5.58,15.67,12.97,19.16,
2026-01-15 09:00:00,47.91,7.14,14.4,12.67,48.77,
2026-01-15 10:00:00,52.48,5.89,15.51,13.83,49.2,
2026-01-15 11:00:00,56.05,7.42,16.64,13.37,25.1,
2026-01-15 12:00:00,53.36,5.38,18.17,17.19,19.55,
2026-01-15 13:00:00,42.55,6.19,22.94,17.19,19.7,
2026-01-15 14:00:00,34.02,6.3,18.35,15.53,19.78,
2026-01-15 15:00:00,43.43,5.99,17.17,16.09,34.15,
2026-01-15 16:00:00,47.33,7.8,17.26,14.82,53.08,
2026-01-15 17:00:00,47.89,9.76,20.51,16.15,29.08,
2026-01-15 18:00:00,41.24,7.83,18.03,28.91,24.34,
2026-01-15 19:00:00,49.72,7.61,19.73,24.85,30.86,
2026-01-15 20:00:00,48.71,10.19,21.56,19.87,36.39,
2026-01-15 21:00:00,53.1,12.17,28.73,21.03,64.32,
2026-01-15 22:00:00,48.49,15.87,28.55,29.05,106.23,
2026-01-15 23:00:00,58.91,13.63,30.96,31.41,117.73,
2026-01-16 00:00:00,59.61,9.62,25.1,28.45,37.56,
2026-01-16 01:00:00,37.04,8.79,19.79,18.17,26.1,
2026-01-16 02:00:00,34.76,7.6,17.29,16.92,25.42,
2026-01-16 03:00:00,33.59,6.83,17.46,18.93,118.13,
2026-01-16 04:00:00,27.29,6.47,14.77,15.96,74.81,
2026-01-16 05:00:00,26.4,7.08,13.14,13.03,20.4,
2026-01-16 06:00:00,30.29,6.39,11.85,12.81,18.11,
2026-01-16 07:00:00,40.11,5.11,11.88,12.82,18.93,
2026-01-16 08:00:00,45.02,6.08,12.04,12.82,21.18,
2026-01-16 09:00:00,46.17,7.68,13.17,12.38,47.07,
2026-01-16 10:00:00,46.24,7.71,14.12,12.85,54.65,
2026-01-16 11:00:00,47.55,6.69,14.4,14.07,19.76,
2026-01-16 12:00:00,48.34,6.56,15.26,19.95,20.8,
2026-01-16 13:00:00,45.94,7.2,15.75,17.22,24.19,
2026-01-16 14:00:00,34.88,10.72,18.51,16.82,23.0,
2026-01-16 15:00:00,44.25,8.61,20.28,15.31,53.14,
2026-01-16 16:00:00,48.37,6.25,20.73,14.67,41.4,
